filename,predicted_label,predicted_class_name,true_label,true_class_name
000050.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000055.jpg,0107,108.White_necked_Raven,0234,AM General Hummer SUV 2000
000060.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000066.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000077.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000083.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000084.jpg,0405,HUMMER H2 SUT Crew Cab 2009,0234,AM General Hummer SUV 2000
000129.jpg,0315,Chevrolet Malibu Hybrid Sedan 2010,0238,Acura RL Sedan 2012
000130.jpg,0239,Acura TL Sedan 2012,0238,Acura RL Sedan 2012
000136.jpg,0483,Toyota Camry Sedan 2012,0238,Acura RL Sedan 2012
000142.jpg,0409,Honda Accord Sedan 2012,0238,Acura RL Sedan 2012
000148.jpg,0239,Acura TL Sedan 2012,0238,Acura RL Sedan 2012
000150.jpg,0239,Acura TL Sedan 2012,0238,Acura RL Sedan 2012
000378.jpg,0239,Acura TL Sedan 2012,0241,Acura TSX Sedan 2012
000381.jpg,0242,Acura ZDX Hatchback 2012,0241,Acura TSX Sedan 2012
000382.jpg,0239,Acura TL Sedan 2012,0241,Acura TSX Sedan 2012
000394.jpg,0242,Acura ZDX Hatchback 2012,0241,Acura TSX Sedan 2012
000400.jpg,0239,Acura TL Sedan 2012,0241,Acura TSX Sedan 2012
000493.jpg,0401,Geo Metro Convertible 1993,0237,Acura Integra Type R 2001
000537.jpg,0451,Mercedes-Benz E-Class Sedan 2012,0242,Acura ZDX Hatchback 2012
000550.jpg,0484,Toyota Corolla Sedan 2012,0242,Acura ZDX Hatchback 2012
000561.jpg,0239,Acura TL Sedan 2012,0242,Acura ZDX Hatchback 2012
000617.jpg,0245,Aston Martin V8 Vantage Coupe 2012,0244,Aston Martin V8 Vantage Convertible 2012
000618.jpg,0246,Aston Martin Virage Convertible 2012,0244,Aston Martin V8 Vantage Convertible 2012
000623.jpg,0245,Aston Martin V8 Vantage Coupe 2012,0244,Aston Martin V8 Vantage Convertible 2012
000627.jpg,0246,Aston Martin Virage Convertible 2012,0244,Aston Martin V8 Vantage Convertible 2012
000628.jpg,0246,Aston Martin Virage Convertible 2012,0244,Aston Martin V8 Vantage Convertible 2012
000634.jpg,0246,Aston Martin Virage Convertible 2012,0244,Aston Martin V8 Vantage Convertible 2012
000637.jpg,0251,Audi R8 Coupe 2012,0244,Aston Martin V8 Vantage Convertible 2012
000638.jpg,0245,Aston Martin V8 Vantage Coupe 2012,0244,Aston Martin V8 Vantage Convertible 2012
000640.jpg,0246,Aston Martin Virage Convertible 2012,0244,Aston Martin V8 Vantage Convertible 2012
000711.jpg,0244,Aston Martin V8 Vantage Convertible 2012,0245,Aston Martin V8 Vantage Coupe 2012
000713.jpg,0421,Hyundai Veloster Hatchback 2012,0245,Aston Martin V8 Vantage Coupe 2012
000715.jpg,0247,Aston Martin Virage Coupe 2012,0245,Aston Martin V8 Vantage Coupe 2012
000722.jpg,0244,Aston Martin V8 Vantage Convertible 2012,0245,Aston Martin V8 Vantage Coupe 2012
000727.jpg,0244,Aston Martin V8 Vantage Convertible 2012,0245,Aston Martin V8 Vantage Coupe 2012
000730.jpg,0247,Aston Martin Virage Coupe 2012,0245,Aston Martin V8 Vantage Coupe 2012
000734.jpg,0246,Aston Martin Virage Convertible 2012,0245,Aston Martin V8 Vantage Coupe 2012
000742.jpg,0244,Aston Martin V8 Vantage Convertible 2012,0245,Aston Martin V8 Vantage Coupe 2012
000789.jpg,0244,Aston Martin V8 Vantage Convertible 2012,0246,Aston Martin Virage Convertible 2012
000793.jpg,0247,Aston Martin Virage Coupe 2012,0246,Aston Martin Virage Convertible 2012
000794.jpg,0247,Aston Martin Virage Coupe 2012,0246,Aston Martin Virage Convertible 2012
000848.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000849.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000852.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000853.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000854.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000855.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000856.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000859.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000860.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000861.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000862.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000864.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000865.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000866.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000867.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000868.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000871.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000872.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000873.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
000874.jpg,0246,Aston Martin Virage Convertible 2012,0247,Aston Martin Virage Coupe 2012
